2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsz002463: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsz300657: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsz301171: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsz300442: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsh688126: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsh603019: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsz300166: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsz300857: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsh600578: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsh600186: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsh600105: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsh600111: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsz300408: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsz000066: 腾讯格式异常
2026-05-19 12:55:15 | WARNING | services.data_service:96 | 行情获取失败 szsz000938: 腾讯格式异常
